epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,8086.62,0.67843,0.58997,1.2007,0.99718,0.99799,0.995,0.91446,0.45804,0.19435,1.00683,0.006568,0.006568,0.006568
106,8163.69,0.67479,0.57931,1.19747,0.99802,0.99878,0.995,0.9051,0.48179,0.19952,1.01659,0.006535,0.006535,0.006535
107,8240.44,0.66203,0.56541,1.18312,0.99808,0.99966,0.995,0.90204,0.48104,0.19789,1.01902,0.006502,0.006502,0.006502
108,8317.51,0.66379,0.55599,1.18604,0.99814,0.99914,0.995,0.91162,0.45647,0.19243,1.01092,0.006469,0.006469,0.006469
109,8394.59,0.66335,0.56618,1.18457,0.99822,1,0.995,0.90843,0.47189,0.19895,1.02428,0.006436,0.006436,0.006436
110,8472.2,0.68702,0.59654,1.20226,0.99786,0.99901,0.995,0.91391,0.44717,0.19686,1.00316,0.006403,0.006403,0.006403
111,8549.81,0.659,0.56711,1.18137,0.99869,1,0.995,0.91365,0.46163,0.20646,1.00866,0.00637,0.00637,0.00637
112,8627.03,0.66943,0.57552,1.19483,0.9973,0.99881,0.995,0.91365,0.46295,0.20048,1.01448,0.006337,0.006337,0.006337
113,8704.67,0.65898,0.56598,1.18078,0.99854,1,0.995,0.90599,0.46432,0.19348,1.00436,0.006304,0.006304,0.006304
114,8782.27,0.64126,0.54137,1.1684,0.99848,0.99784,0.995,0.90984,0.45702,0.19248,1.00383,0.006271,0.006271,0.006271
115,8859.8,0.65857,0.55463,1.18148,0.99784,0.99968,0.995,0.91203,0.46015,0.19445,1.0138,0.006238,0.006238,0.006238
116,8937.39,0.6464,0.53713,1.17633,0.99832,1,0.995,0.9164,0.45201,0.19133,1.01647,0.006205,0.006205,0.006205
117,9014.73,0.64717,0.53356,1.17132,0.99878,0.99681,0.995,0.90943,0.45474,0.19263,1.00203,0.006172,0.006172,0.006172
118,9092.5,0.65523,0.55323,1.17383,0.99726,1,0.995,0.91176,0.45865,0.19777,1.00431,0.006139,0.006139,0.006139
119,9170.11,0.64739,0.54585,1.17453,0.99634,1,0.995,0.90652,0.46773,0.19728,1.01776,0.006106,0.006106,0.006106
120,9248.15,0.65173,0.55472,1.17558,0.99858,0.99906,0.995,0.91273,0.46748,0.20243,1.02816,0.006073,0.006073,0.006073
121,9325.29,0.64939,0.55005,1.17458,0.99861,1,0.995,0.91943,0.45423,0.1941,1.00967,0.00604,0.00604,0.00604
122,9402.66,0.63681,0.544,1.16804,0.99897,0.99875,0.995,0.91722,0.45355,0.18532,1.00483,0.006007,0.006007,0.006007
123,9480.3,0.64202,0.53434,1.16851,0.99857,1,0.995,0.91715,0.45093,0.18621,0.99839,0.005974,0.005974,0.005974
124,9557.5,0.63306,0.5285,1.16467,0.99848,1,0.995,0.91626,0.45178,0.18553,0.99816,0.005941,0.005941,0.005941
125,9635.49,0.64418,0.53591,1.16893,0.99862,1,0.995,0.91644,0.45274,0.18319,1.00087,0.005908,0.005908,0.005908
126,9712.9,0.64117,0.51912,1.16269,0.99866,1,0.995,0.9137,0.44938,0.18629,1.00915,0.005875,0.005875,0.005875
127,9790.92,0.63286,0.53246,1.15768,0.99849,0.99966,0.995,0.91504,0.45652,0.18558,1.01035,0.005842,0.005842,0.005842
128,9868.58,0.65001,0.53189,1.17146,0.99779,0.99841,0.995,0.91908,0.44925,0.18978,0.99417,0.005809,0.005809,0.005809
129,9946.09,0.63558,0.5324,1.1638,0.99879,0.99898,0.995,0.91736,0.44695,0.17897,0.99939,0.005776,0.005776,0.005776
130,10024,0.6288,0.52109,1.15898,0.99854,0.99962,0.995,0.91907,0.44664,0.18167,0.99795,0.005743,0.005743,0.005743
131,10101.2,0.62794,0.52427,1.16283,0.99875,0.99911,0.995,0.91353,0.45502,0.18583,1.00661,0.00571,0.00571,0.00571
132,10178.5,0.62935,0.53017,1.16594,0.99725,0.99659,0.995,0.91483,0.44741,0.18591,0.99721,0.005677,0.005677,0.005677
133,10256.1,0.62438,0.51601,1.16141,0.99826,1,0.995,0.91578,0.45084,0.18241,0.99949,0.005644,0.005644,0.005644
134,10334.3,0.62406,0.52918,1.15917,0.99822,1,0.995,0.91389,0.45056,0.1852,0.99985,0.005611,0.005611,0.005611
135,10413.1,0.61448,0.51213,1.14719,0.99831,0.99913,0.995,0.91365,0.44841,0.18212,1.00536,0.005578,0.005578,0.005578
136,10491.2,0.62364,0.51842,1.16061,0.99859,0.99675,0.995,0.91036,0.4585,0.18536,1.01353,0.005545,0.005545,0.005545
137,10568.6,0.62524,0.51883,1.15853,0.99839,0.99623,0.995,0.91554,0.44972,0.18776,1.00367,0.005512,0.005512,0.005512
138,10645.7,0.62387,0.51871,1.15469,0.99909,1,0.995,0.91543,0.45497,0.1832,1.00209,0.005479,0.005479,0.005479
139,10724,0.61984,0.51019,1.15066,0.99685,0.99889,0.995,0.91139,0.44809,0.18178,1.0027,0.005446,0.005446,0.005446
140,10802.1,0.6122,0.50251,1.15122,0.99826,1,0.995,0.91294,0.45456,0.18686,1.01266,0.005413,0.005413,0.005413
141,10880.4,0.61514,0.50586,1.15315,0.99655,1,0.995,0.91341,0.45109,0.18871,1.01005,0.00538,0.00538,0.00538
